model,price,link
2023 HARLEY-DAVIDSON FLFBS,18999.0,https://www.ebay.com/itm/227413875072
2004 HARLEY-DAVIDSON FLSTCI,6250.0,https://www.ebay.com/itm/147405018893
1999 BUELL CYCLONE M2,3500.0,https://www.ebay.com/itm/157969542920
2007 Ducati Monster 695,2900.0,https://www.ebay.com/itm/127907032614
1972 Motorcycles,6500.0,https://www.ebay.com/itm/117279415942
2005 Motorcycles,5000.0,https://www.ebay.com/itm/198466372325
1975 Norton Commando,7000.0,https://www.ebay.com/itm/168512249363
1970 Motorcycles,2750.0,https://www.ebay.com/itm/398107326066
1963 Triumph Trophy,3399.99,https://www.ebay.com/itm/267715272271
1979 Triumph Bonneville 750,3900.0,https://www.ebay.com/itm/278147675742
2002 SUZUKI TL1000 R,4900.0,https://www.ebay.com/itm/147388362901
1997 Motorcycles,999.0,https://www.ebay.com/itm/267717037191
1999 Ducati 996,11500.0,https://www.ebay.com/itm/366503552073
1971 Motorcycles,3100.0,https://www.ebay.com/itm/227408478810
1971 Norton 750 Motorcycles,5850.0,https://www.ebay.com/itm/158041643633
1993 Motorcycles,4000.0,https://www.ebay.com/itm/298452614154
1985 Motorcycles,2500.0,https://www.ebay.com/itm/127954203844
1985 Maico RC500,4000.0,https://www.ebay.com/itm/168512497580
1914 custom Boardtrack racer replica,4599.0,https://www.ebay.com/itm/278126054054
1975 Ducati 860 GT,2950.0,https://www.ebay.com/itm/298453029998
1928 Scott Flying Squirrel,3950.0,https://www.ebay.com/itm/800225435629
2001 ATK 605,5000.0,https://www.ebay.com/itm/287429887798
2007 SUZUKI GSX-R750,3000.0,https://www.ebay.com/itm/298464551219
1975 Motorcycles,3800.0,https://www.ebay.com/itm/117247465365
2007 DUCATI SPORTCLASSIC GT 1000 SPORT1000,8000.0,https://www.ebay.com/itm/206384371944
1995 HARLEY-DAVIDSON FXDWG,5500.0,https://www.ebay.com/itm/168497145869
1978 Triumph Bonneville T140V,5450.0,https://www.ebay.com/itm/800247363598
1922 Motorcycles,9500.0,https://www.ebay.com/itm/336665472810
2001 HARLEY-DAVIDSON FLHTCUI MOTOR TRIKE,8900.0,https://www.ebay.com/itm/257605382930
2023 MV Agusta F3R,15500.0,https://www.ebay.com/itm/257589515358
2003 HARLEY-DAVIDSON XL883 HUGGER,6000.0,https://www.ebay.com/itm/147398040755
